Name,Price,Rating,Brand,Gender,ProductType,Fragrance_family,Character,Ingredients,Concentration,Top_note,Middle_note,Base_note,Size,Year
Maqam Al Shoyoukh EDP - 120 ml,700 SAR,5,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Guerlain Santal Royal Guerlain,862 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Tom Ford Noir Extreme,759 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Chopard Happy Spirit,177 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Parfums de Marly Delina Hair Mist,322 SAR,none,Maqam,Unisex,Perfume,Floral Oriental,Sensual,"Valerian, Lactonic (Milky), Fruity (Red Apple), Rose, Moroccan Jasmine, Lily, Amber, Woody (Virginia Cedarwood), Caramel, Musk",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Ajmal Raindrops,46 SAR,none,Ajmal,Women,Perfume,Floral,Glamorous,"Floral Notes , Woodsy Notes, Fruity Notes, Ambergris",Eau de Parfum,"Valerian, Lactonic (Milky), Fruity (Red Apple)","Rose, Moroccan Jasmine, Lily","Amber, Woody (Virginia Cedarwood), Caramel, Musk",120 ml,2021
Calvin Klein Euphoria Men Intense,145 SAR,4,Calvin Klein,Men,Perfume,Romantic,Perfume,2008,"ginger, hot pepper, warm cedar, smoky vetiver, savory sage, spicy black basil, myrrh, powerful labdanum, amber, somber earthy patchouli, musty agar wood",Eau de Toilette,"ginger, hot pepper","warm cedar, smoky vetiver, savory sage, spicy black basil",Soft Oriental,100 ml
Dolce & Gabbana Pour Femme Intense,269 SAR,4.8,Dolce&Gabbana,Women,Perfume,Modern,Perfume,2013,"green mandarin, neroli, tuberose, orange blossom, marshmallow, sandalwood.",Eau de Parfum,"Neroli, Green mandarin","Orange blossom, Tuberose",Floral Oriental,50 ml
"Roberto Cavalli ""Roberto Cavalli""",129 SAR,5,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Pink pepper, African orange flower, benzoin, tonka bean, vanilla.",Eau de Parfum,Pink pepper,"African orange flower,","benzoin, tonka bean, vanilla.",50 ml,2012
Who Am I Just Fly EDP - 100 ml,149 SAR,4.92,Who Am I,Unisex,Perfume,"Fruity,Woody",Natural,"Grapefruit, Orris, Cedarwood",Eau de Parfum,Grapefruit,Orris,Cedarwood,100 ml,2019
Jaguar Classic Black,95 SAR,3.5,Jaguar,Men,Perfume,Charismatic,Perfume,2002,"Green Apple, Tangerine, Orange,Cardamom, Nutmeg, Black Tea,Sandalwood, White Musk, Cedarwood",Eau de Toilette,"Green Apple, Tangerine, Orange","Cardamom, Nutmeg, Black Tea",Oriental,100 ml
Dolce & Gabbana The One Mysterious Night,374 SAR,4.5,Dolce&Gabbana,Men,Perfume,Oriental,Charismatic,2018,"Saffron, Grapefruit, Rose, Oud, Sage, Amber, Woody Notes, Labdanum, Tonka Bean.",Eau de Parfum,"Saffron, Grapefruit","Rose, Oud, Sage","Red,Gold",100 ml
Chopard Oud Malaki,295 SAR,4.88,Chopard,Unisex,Perfume,Glamorous,Oud,2012,"Grapefruit, Lavender, Artemisia, Leather, Spices, Tobacco, Amber, Dark Wood, Agarwood",Eau de Parfum,"Grapefruit, lavender, artemisia","Leather, spices, tobacco",Oriental,80 ml
Lacoste Eau De Lacoste L.12.12 Blanc,175 SAR,4.6,Lacoste,Men,Perfume,Natural,Perfume,2011,"Grapefruit, Cardamom, Rosemary, Cedar Leaf, Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang, Vetiver, Suede, Cedarwood, Georgywood",Eau de Toilette,"Grapefruit, Cardamom, Rosemary, Cedar Leaf","Tuberose Absolute, Olibanum Resinoid, Ylang-Ylang",Aromatic,100 ml
Tom Ford Black Orchid,381 SAR,5,Tom Ford,Unisex,Perfume,Natural,Perfume,2006,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus, Black Orchid, Patchouli, Sandalwood, Dark Chocolate, Incense, Amber, Vetiver, Vanilla, Balsam",Eau de Parfum,"Jasmine, Black Truffle, Ylang-ylang, Black Currant, Citrus",Black Orchid,Woody,100 ml
The Finest Rose EDP - 100 ml,249 SAR,none,The Finest,Unisex,Perfume,Floral,Romantic,Eau de Parfum,Saffron,Bulgarian Rose,Musk,Black Orchid,Woody,100 ml
Roberto Cavalli Uomo Roberto Cavalli,167 SAR,4.75,Roberto Cavalli,Men,Perfume,Charismatic,Perfume,2016,"Black Violet, Saffron, Honey, Lavender, Cedarwood, Patchouli, Tonka.",Eau de Toilette,"Black violet, Saffron","Honey, Lavender",Oriental,100 ml
Burberry Body,214 SAR,4.5,Burberry,Women,Perfume,Glamorous,Perfume,2011,الورد، المسك، خشب الصندل، العنبر,Eau de Parfum,"fresh green absinthe, peach and freesia",Roses and iris,Floral,60 ml
La Perla Divina,149 SAR,5,La Perla,Women,Perfume,Floral,Romantic,2007,"Big Strawberry, Champagne, Pear, Calabrain Mandarin ,Jasmine, African Orange Flower, Rose,Musk, Amber, Vanilla, Woodsy Notes",Eau de Toilette,"Big Strawberry, Champagne, Pear, Calabrain Mandarin","Jasmine, African Orange Flower, Rose",Pink,50 ml
Deem Perfumes Baby Powder,65 SAR,none,La Perla,Women,Perfume,Floral,Romantic,2007,"Big Strawberry, Champagne, Pear, Calabrain Mandarin ,Jasmine, African Orange Flower, Rose,Musk, Amber, Vanilla, Woodsy Notes",Eau de Toilette,"Big Strawberry, Champagne, Pear, Calabrain Mandarin","Jasmine, African Orange Flower, Rose",Pink,50 ml
Juicy Couture Viva La Juicy,252 SAR,4.75,Juicy Couture,Women,Perfume,Extravagant,Perfume,2008,"mandarin, Cranberry, Honeysuckle, Gardenia, Jasmine, amber, Caramel, Almond Candy, Sandalwood, Vanilla",Eau de Parfum,"mandarin, Cranberry","capricorn, Gardenia, Jasmine,",Fruity,100 ml
Calvin Klein Euphoria Men,169 SAR,5,Calvin Klein,Men,Perfume,Romantic,Perfume,2006,"Black pepper, ginger, black basil, saga, cedarwood, amber, patchouli, brazilian redwood",Eau de Toilette,"Black pepper, ginger","black basil, saga, cedarwood",Oriental,100 ml
Guerlain Musc Noble,567 SAR,none,Guerlain,Unisex,Perfume,Floral Oriental,Modern,Eau de Parfum,"Aldehydes, Pink Pepper, Saffron","Geranium, musk, rose","Iris root, leather, cedar wood, amber, labadenum, musk","black basil, saga, cedarwood",Oriental,100 ml
Coach For Men,226 SAR,none,Coach,Men,Perfume,Black,Masculine,Eau de Toilette,"Bergamot, Kumquat, Pear","Geranium, Cardamom, Coriander (Cilantro)","Ambergris, Suede, Haitian Vetiver","black basil, saga, cedarwood",Oriental,100 ml
Calvin Klein Euphoria Women,145 SAR,4.89,Calvin Klein,Women,Perfume,Extravagant,Perfume,2005,"Pomegranate, Lotus Blossom, Black Orchid, Amber, Wood",Eau de Parfum,Pomegranate,"Lotus Blossom, Black Orchid",Fruity,50 ml
Guerlain Oud Essentiel,862 SAR,5,Guerlain,Women,Perfume,Woody,Charismatic,2000,"Saffron, Geranium,Oud, Bulgarian Rose, Atlas Cedar,Leather, Frankincense, Gaiac Wood",Eau de Parfum,"Saffron, Geranium","Oud, Bulgarian Rose, Atlas Cedar","Black,Gold",125 ml
Candy Addict Musky Musk Hair Mist - 100 ml,179 SAR,none,Candy Addict,Unisex,Hair Mist,Musky,Charismatic,"Bergamot, Rose, Musk",Bergamot,Rose,Musk,"Oud, Bulgarian Rose, Atlas Cedar","Black,Gold",125 ml
Al Mas Asheq Al Oud Bakhoor - 30g,42 SAR,none,Candy Addict,Unisex,Hair Mist,Musky,Charismatic,"Bergamot, Rose, Musk",Bergamot,Rose,Musk,"Oud, Bulgarian Rose, Atlas Cedar","Black,Gold",125 ml
Gucci Flora By Gucci EDP,302 SAR,5,Gucci,Women,Perfume,Romantic,Perfume,2008,"Mandarin, Peony, Rose, Pink Pepper, Osmanthus Flower, Patchouli, Sandalwood, Vanilla",Eau de Parfum,"Mandarin, Peony","Rose, Pink Pepper, Osmanthus Flower",Floral,50 ml
Nikos Sculpture Homme,97 SAR,4.5,Nikos,Men,Perfume,Charismatic,Perfume,100 ml,1995,"Orange Blossom, Lemon,Tonka Bean, Benzoin, Bergamot, Amber, Jasmine",Eau de Toilette,"Orange sprouts, mandarin, bergamot, lemon",Oriental,"Transparent,White,Silver"
Tom Ford Velvet Orchid,644 SAR,none,Nikos,Men,Perfume,Charismatic,Perfume,100 ml,1995,"Orange Blossom, Lemon,Tonka Bean, Benzoin, Bergamot, Amber, Jasmine",Eau de Toilette,"Orange sprouts, mandarin, bergamot, lemon",Oriental,"Transparent,White,Silver"
Roberto Cavalli Paradiso Azzurro,174 SAR,5,Roberto Cavalli,Women,Perfume,Romantic,Perfume,2015,"Citrus freshness, bergamot, lavender, wild jasmine, petals, cypress, cashmere.",Eau de Parfum,"Citrus, Bergamot, Lavender","wild jasmine, petals",Floral,50 ml
Candy Addict V Vanille Hair Mist - 100 ml,179 SAR,5,Candy Addict,Unisex,Hair Mist,Oriental,Extravagant,2019,"Pink Pepper, Sage, Vanilla",Pink Pepper,Sage,Vanilla,"White,Yellow",100 ml
Mont Blanc Explorer,205 SAR,4.42,Mont Blanc,Men,Perfume,Aromatic,Charismatic,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix",Black,100 ml
Van Cleef & Arpels Ambre Imperial,759 SAR,none,Mont Blanc,Men,Perfume,Aromatic,Charismatic,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix",Black,100 ml
Al Mas Oud Mabkhar,35 SAR,none,Mont Blanc,Men,Perfume,Aromatic,Charismatic,2019,"Bergamot, Pink Pepper, Clary, Sage, Leather, Haitian, Vetiver, Indonesian Patchouli, Leaf Cacao, Akigalawood",Eau de Parfum,"Clary Sage, Pink Pepper, Bergamot","Patchouli, Mahonial, Ambrofix",Black,100 ml
Elie Saab Le Parfum,222 SAR,5,Elie Saab,Women,Perfume,Feminine,Perfume,2011,"Orange Blossom, jsmine, grandiflorum, sambac, cedar, patchouli, rose honey",Eau de Parfum,Orange Blossom,"jasmine, grandiflorum, sambac",Floral Oriental,50 ml
Mont Blanc Emblem,144 SAR,5,Mont Blanc,Men,Perfume,Charismatic,Perfume,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon",Woody Oriental,100 ml
Van Cleef & Arpels Moonlight Patchouli,759 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon",Woody Oriental,100 ml
Police Icon Gold,295 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon",Woody Oriental,100 ml
Lacoste Pour Femme,154 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2014,"Grapefruit, Sage, Cardamom, Violet Leaf, Cinnamon, Wood, Tonka Bean",Eau de Toilette,"Clary Sage, Cardamom, Grapefruit","Frozen Violet Leaf, Cinnamon",Woody Oriental,100 ml
Boucheron Quatre Pour Femme,227 SAR,5,Boucheron,Women,Perfume,Fruity,Extravagant,2015,"Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple",Gold,50 ml
Kholasaat Oration,552 SAR,none,Boucheron,Women,Perfume,Fruity,Extravagant,2015,"Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple",Gold,50 ml
Vintage Legend,327 SAR,none,Boucheron,Women,Perfume,Fruity,Extravagant,2015,"Mandarin, orange, lemon, grapefruit, strawberry, rose, peach, jasmine, apple, cedar, vanilla, cashmere, caramel",Eau de Parfum,"Mandarin, orange, lemon, grapefruit","Strawberry, rose, peach, jasmine, apple",Gold,50 ml
Cartier Pasha Noire,398 SAR,5,Cartier,Men,Perfume,Charismatic,Perfume,2013,"Green Citrus,Woody Amber,Cedar Accords",Eau de Toilette,Green Citrus,Woody Amber,Fruity,100 ml
Candy Addict Berry B Hair Mist - 100 ml,179 SAR,none,Candy Addict,Women,Hair Mist,"Floral,Fruity",Extravagant,"Raspberry, Freesia, Vanilla",Raspberry,Freesia,Vanilla,Woody Amber,Fruity,100 ml
Davidoff The Game,114 SAR,4.5,Davidoff,Men,Perfume,Natural,Perfume,2012,"Juniper berries, polytheism, precious woods, iris, ebony",Eau de Toilette,"Juniper berries, polytheism","Precious wood, iris",Woody,100 ml
Nasomatto Black Afgano Extrait De Parfum,668 SAR,none,Davidoff,Men,Perfume,Natural,Perfume,2012,"Juniper berries, polytheism, precious woods, iris, ebony",Eau de Toilette,"Juniper berries, polytheism","Precious wood, iris",Woody,100 ml
Roberto Cavalli Paradiso,169 SAR,4.95,Roberto Cavalli,Women,Perfume,Charismatic,Perfume,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Elie Saab Le Parfum In White,310 SAR,none,Roberto Cavalli,Women,Perfume,Charismatic,Perfume,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Tiziana Terenzi Kirke,846 SAR,none,Roberto Cavalli,Women,Perfume,Charismatic,Perfume,2015,"Citrus, mandarin, bergamot, jasmine, pine, cypress, laurel.",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Kholasaat Portrait,552 SAR,none,Kholasaat,Unisex,Perfume,Oriental,Charismatic,2013,"Patchouli, guaiac wood, vanilla, amber",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Deem Perfumes Clean,65 SAR,none,Deem Perfumes,Unisex,Perfume,Aromatic,Extravagant,Eau de Parfum,"Patchouli, guaiac wood, vanilla, amber",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Hugo Boss Boss Orange Woman,145 SAR,none,Deem Perfumes,Unisex,Perfume,Aromatic,Extravagant,Eau de Parfum,"Patchouli, guaiac wood, vanilla, amber",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Boucheron Quatre En Rose Florale,484 SAR,none,Deem Perfumes,Unisex,Perfume,Aromatic,Extravagant,Eau de Parfum,"Patchouli, guaiac wood, vanilla, amber",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Guerlain Encens Mythique,522 SAR,none,Deem Perfumes,Unisex,Perfume,Aromatic,Extravagant,Eau de Parfum,"Patchouli, guaiac wood, vanilla, amber",Eau de Parfum,"Citruses , Mandarin , Bergamot",Jasmine,Woody,50 ml
Roberto Cavalli Nero Assoluto,169 SAR,4.5,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood",50 ml,2013
Gucci Flora Gorgeous Gardenia,534 SAR,none,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood",50 ml,2013
Guerlain Patchouli Ardent,862 SAR,none,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood",50 ml,2013
Al Majed For Oud Black Secret 1971 EDP,138 SAR,none,Roberto Cavalli,Women,Perfume,Floral Oriental,Modern,"Orchids, citrus fruits, vanilla, ebony, woods.",Eau de Parfum,"Orchids, citrus fruits",Vanilla,"woods, Ebony wood",50 ml,2013
Versace Dylan Blue Pour Homme,245 SAR,5,Versace,Men,Perfume,Aromatic,Natural,2016,"Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron",Eau de Toilette,"Calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox",Blue,50 ml
Kholasaat Majesty Lyrique,552 SAR,none,Versace,Men,Perfume,Aromatic,Natural,2016,"Water Notes, Calabrian bergamot, Grapefruit, Fig Leaf, Violet Leaf, Papyrus, Patchouli, Black Pepper, Ambroxan, Musk, Incense, Tonka Bean, Saffron",Eau de Toilette,"Calabrian bergamot, grapefruit, fig leaves","violet leaf, papyrus wood, organic patchouli, black pepper, ambrox",Blue,50 ml
Creed Aventus,1938 SAR,5,Creed,Men,Perfume,Glamorous,Perfume,2011,"Bergamot, Blackcurrant Leaves, Apple, Pineapple,Pinkberries, Birch, Patchouli, Jasmine,Musk, Oakmoss, Ambergris, Vanilla",Eau de Parfum,"Bergamot, Blackcurrant Leaves, Apple, Pineapple","Pinkberries, Birch, Patchouli, Jasmine",Oud,100 ml
Remal Amber & Saffron Bakhoor - 60 gm,129 SAR,none,Remal,Bakhoor,Oriental,"Agar Oud, Amber, Rose, Saffron, Aldehydes, Woody Notes",2020,Woody Notes,"Bergamot, Blackcurrant Leaves, Apple, Pineapple,Pinkberries, Birch, Patchouli, Jasmine,Musk, Oakmoss, Ambergris, Vanilla",Eau de Parfum,"Bergamot, Blackcurrant Leaves, Apple, Pineapple","Pinkberries, Birch, Patchouli, Jasmine",Oud,100 ml
Calvin Klein Ck Beauty,121 SAR,none,Calvin Klein,Women,Perfume,Floral,Perfume,Eau de Parfum,"Ylang-ylang, orange blossom","jasmine, sandalwood",vetiver,"Pinkberries, Birch, Patchouli, Jasmine",Oud,100 ml
Jean Paul Gaultier Scandal,440 SAR,5,Jean Paul Gaultier,Women,Perfume,Floral,Glamorous,"Blood orange, Grapefruit, Honey, Gardenia, Patchouli",Eau de Parfum,"Blood orange, Grapefruit","Honey, Gardenia.",Patchouli,50 ml,2017
Lorenzo Villoresi Firenze Teint De Neige EDT,659 SAR,5,Lorenzo Villoresi Firenze,Unisex,Perfume,Floral,Romantic,2000,"Jasmin, Ylang Ylang, Tonka bean, Rose, Heliotrope, Musk, sweet, powdery, floral notes",Eau de Toilette,"Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes","Tonka bean, Jasmin, Rose, sweet, powdery, floral notes",White,100 ml
Deem Perfumes Musk,65 SAR,none,Deem Perfumes,Unisex,Perfume,Oriental,Charismatic,Musk,Eau de Parfum,Eau de Toilette,"Jasmin, Rose, Ylang Ylang, sweet, powdery, floral notes","Tonka bean, Jasmin, Rose, sweet, powdery, floral notes",White,100 ml
Mont Blanc Legend,178 SAR,5,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Remal Rose & Oud Bakhoor - 60 gm,129 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Elizabeth Arden Arden Beauty,159 SAR,none,Mont Blanc,Men,Perfume,Charismatic,Perfume,2011,"Bergamot, Lavender, Pineapple Leaf, Verbena, Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule, Sandalwood, Tonka, Evernyl",Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Memo Paris Irish Leather,2018 SAR,none,Memo Paris,Unisex,Perfume,Leather,Classical,"Juniper berries, amber, skin, Ilex, tonka beans.",Eau de Parfum,Eau de Toilette,"Bergamot, Lavender, Pineapple Leaf, Verbena","Oak Moss, Geranium, Coumarin, Apple, Rose, Pomarosa Molecule",Woody Oriental,50 ml
Bentley For Men Intense,216 SAR,4.6,Bentley,Men,Perfume,Masculine,Perfume,2013,"Bergamot, Black Pepper, Bay Leaf,Clary Sage, African Geranium, Cinnamon, Rum, Woody Notes,Leather, Benzoin, Incense, Cedar, Patchouli",Eau de Parfum,"Bergamot, Black Pepper, Bay Leaf","Clary Sage, African Geranium, Cinnamon, Rum, Woody Notes",Oriental,100 ml
Roberto Cavalli Florence,167 SAR,none,Roberto Cavalli,Women,Perfume,Floral,Romantic,2016,"Mandarin, Orange, Black Currant, Orange Blossom, Grapefruit Blossom, Patchouli, Musk, Amber",Eau de Parfum,"Bergamot, Black Pepper, Bay Leaf","Clary Sage, African Geranium, Cinnamon, Rum, Woody Notes",Oriental,100 ml
Orto Parisi Terroni,720 SAR,5,Orto Parisi,Unisex,Perfume,Aromatic,Extravagant,"Cashmere wood, cotton candy, cibriol, musk, cedar",Eau de Parfum,"Cashmere wood, cotton candy",Cypriol,"Musk, rice",50 ml,2017
Maqam Base of Sight EDP - 120 ml,359 SAR,5,Maqam,Unisex,Perfume,Oriental,Charismatic,"Geranium, Coconut, Woody Notes, Vanilla",Eau de Parfum,"Geranium, Coconut",Woody Notes,Vanilla,120 ml,2020
Kholasaat Gold,533 SAR,none,Maqam,Unisex,Perfume,Oriental,Charismatic,"Geranium, Coconut, Woody Notes, Vanilla",Eau de Parfum,"Geranium, Coconut",Woody Notes,Vanilla,120 ml,2020
Hugo Boss Boss Bottled,171 SAR,none,Hugo Boss,Men,Perfume,Charismatic,Perfume,1998,"Bergamot, Cinnamon, Cedar, Sandalwood, Vetiver, Olivewood",Eau de Toilette,Woody Notes,Vanilla,120 ml,2020
Burberry My Burberry EDP,237 SAR,none,Hugo Boss,Men,Perfume,Charismatic,Perfume,1998,"Bergamot, Cinnamon, Cedar, Sandalwood, Vetiver, Olivewood",Eau de Toilette,Woody Notes,Vanilla,120 ml,2020
Marly Pegasus,1196 SAR,4.5,Parfums de Marly,Men,Perfume,Charismatic,Perfume,125 ml,2011,"Bergamot, heliotrope, cumin, jasmine, bitter almond, lavender, amber, vanilla, sandalwood.",Eau de Parfum,"Bergamot, heliotrope, cumin",Oriental,Silver
Narciso Rodriguez For Her EDT,276 SAR,none,Parfums de Marly,Men,Perfume,Charismatic,Perfume,125 ml,2011,"Bergamot, heliotrope, cumin, jasmine, bitter almond, lavender, amber, vanilla, sandalwood.",Eau de Parfum,"Bergamot, heliotrope, cumin",Oriental,Silver
Candy Addict Addictive Temptation Mini Hair Mists Set - 3x30 ml,149 SAR,none,Candy Addict,Women,"Perfume Set,Hair Mist",Charismatic,Perfume,125 ml,2011,"Bergamot, heliotrope, cumin, jasmine, bitter almond, lavender, amber, vanilla, sandalwood.",Eau de Parfum,"Bergamot, heliotrope, cumin",Oriental,Silver
Lalique Encre Noir,165 SAR,5,Lalique,Men,Perfume,Oriental,Masculine,2005,"Vetiver, Cypress, Cashmere Wood, Musk",Eau de Toilette,"Cypress, Vetiveryl Acetate","Haiti Vetyver, Bourbon Vetyver","Black,Brown",100 ml
Parfums de Marly Layton,1196 SAR,5,Parfums de Marly,Unisex,Perfume,Modern,Perfume,125 ml,2016,"Bergamot, lavender, apple, mandarin, violet, jasmine, geranium flowers, guaiac wood, patchouli, sandalwood, cardamom, vanilla, and pepper.",Eau de Parfum,"Bergamot, lavender, apple, mandarin",Floral Oriental,Blue
Ajmal Evoke For Women,173 SAR,none,Parfums de Marly,Unisex,Perfume,Modern,Perfume,125 ml,2016,"Bergamot, lavender, apple, mandarin, violet, jasmine, geranium flowers, guaiac wood, patchouli, sandalwood, cardamom, vanilla, and pepper.",Eau de Parfum,"Bergamot, lavender, apple, mandarin",Floral Oriental,Blue
Dolce & Gabbana The One for Men EDT,239 SAR,none,Parfums de Marly,Unisex,Perfume,Modern,Perfume,125 ml,2016,"Bergamot, lavender, apple, mandarin, violet, jasmine, geranium flowers, guaiac wood, patchouli, sandalwood, cardamom, vanilla, and pepper.",Eau de Parfum,"Bergamot, lavender, apple, mandarin",Floral Oriental,Blue
Dolce & Gabanna L'imperatrice 3 Pour Femme,199 SAR,5,Dolce&Gabbana,Women,Perfume,Floral,Romantic,2009,"Watermerlon, Kiwi, Pink Cyclamen, Musk, Pink Pepper, Jasmine, Sandalwood, Lemon Tree",Eau de Toilette,"Pink pepper, kiwi, rhubarb","jasmine, cyclamen, watermelon",Pink,100 ml
Van Cleef & Arpels Precious Oud Collection Extraordinaire,759 SAR,5,Van Cleef & Arpels,Women,Perfume,Woody,Natural,2011,"Bergamot, pink pepper, jasmine, tuberose and incense, vetiver, sandalwood, patchouli, agarwood and ambergris.",Eau de Parfum,"Bergamot, and pink pepper","Jasmine, tuberose and incense","Black,Beige",75 ml
Remal Oud Wood Bakhoor - 60 gm,129 SAR,none,Remal,Bakhoor,Oriental,"Agarwood, Musk, Amber",2020,"Agarwood, Musk, Amber","Bergamot, pink pepper, jasmine, tuberose and incense, vetiver, sandalwood, patchouli, agarwood and ambergris.",Eau de Parfum,"Bergamot, and pink pepper","Jasmine, tuberose and incense","Black,Beige",75 ml
